value,mimic_iv_probability,nu_probability,ucmc_probability
242.0,,0.6041189931350115,0.707434523031333
243.0,,0.6053902873124841,0.708022835229006
244.0,,0.6064073226544623,0.7088290408332244
245.0,,0.6069158403254513,0.7097006144594065
246.0,,,0.710354294679043
247.0,,0.6074243579964403,0.7109643962173705
248.0,,0.6084413933384185,0.7117270231402798
249.0,,0.6086956521739131,0.7126203861071164
250.0,0.68441725316123,0.6092041698449021,0.7138841678650804
251.0,,0.6099669463513857,0.7143635333594806
252.0,,0.6102212051868803,0.7148428988538806
253.0,,,0.7159105765459537
254.0,,0.6107297228578693,0.7166514141282084
255.0,,,0.7172833050071905
256.0,,0.6122552758708365,0.7178062491828997
257.0,,0.6132723112128147,0.7183509826992636
258.0,,0.6145436053902873,0.7189828735782455
259.0,,0.6153063818967709,0.7195058177539547
260.0,0.6901556522500949,0.6155606407322655,0.7204427594021005
261.0,,0.6168319349097381,0.7210746502810825
262.0,,0.6170861937452327,0.7216411731381008
263.0,,0.6175947114162217,0.7224038000610101
264.0,,0.6181032290872108,0.7232753736871922
265.0,,0.6183574879227053,0.7238636858848652
266.0,,0.6191202644291889,0.7244737874231926
267.0,,0.620137299771167,0.7252582036867564
268.0,,0.6206458174421561,0.725955462587702
269.0,,0.6209000762776506,0.7264566174227568
270.0,0.6966971351809129,0.6211543351131452,0.7276768204994117
271.0,,0.6216628527841342,0.7285048154442847
272.0,,0.6219171116196288,0.7292456530265394
273.0,,0.6226798881261124,0.7298121758835577
274.0,,0.623951182303585,0.7304440667625398
275.0,,,0.7310105896195581
276.0,,0.6244596999745741,0.7316860591798492
277.0,,0.6247139588100686,0.7322525820368676
278.0,,0.6252224764810577,0.7327755262125768
279.0,,0.6254767353165522,0.7333202597289405
280.0,0.7020120900622024,0.6257309941520468,0.7342136226957773
281.0,,0.6259852529875413,0.7348019348934501
282.0,,0.6262395118230358,0.735150564343923
283.0,,0.626748029494025,0.7358914019261777
284.0,,0.6270022883295194,0.7363925567612324
285.0,,0.627765064836003,0.7370026582995599
286.0,,0.6280193236714976,0.7376127598378873
287.0,,0.6287821001779812,0.7383535974201421
288.0,,0.6292906178489702,0.7390072776397786
289.0,,0.6295448766844648,0.7396173791781061
290.0,0.7069474053091143,0.6297991355199594,0.7405761101669064
291.0,,0.6300533943554538,0.741077265001961
292.0,,0.6303076531909484,0.7415566304963612
293.0,,0.6308161708619374,0.742101364012725
294.0,,0.6318332062039156,0.7425589401664706
295.0,,0.6323417238749046,0.7430600950015253
296.0,,0.6333587592168828,0.743604828517889
297.0,,0.634375794558861,0.7439752473090164
298.0,,0.6366641240783117,0.7445199808253802
299.0,,,0.7451954503856714
300.0,0.7113278626288585,,0.7459798666492352
301.0,,0.6374269005847953,0.7463720747810171
302.0,,0.6376811594202898,0.7468950189567264
303.0,,0.6381896770912789,0.7472436484071991
304.0,,0.6389524535977625,0.747788381923563
305.0,,0.6394609712687516,0.7485074301651632
306.0,,0.6397152301042461,0.749052163681527
307.0,,0.6412407831172133,0.7495315291759271
308.0,,0.6414950419527079,0.7499891053296728
309.0,,,0.7504466814834183
310.0,0.7160149519609847,,0.7511439403843639
311.0,,0.6417493007882024,0.751579727197455
312.0,,,0.7519719353292369
313.0,,0.6420035596236969,0.7524730901642916
314.0,,0.6422578184591915,0.7531921384058918
315.0,,0.642512077294686,0.753671503900292
316.0,,0.6430205949656751,0.754303394779274
317.0,,,0.7547609709330195
318.0,,0.6432748538011696,0.7552621257680743
319.0,,0.6437833714721587,0.7558940166470562
320.0,0.7204684169027247,0.6440376303076532,0.7564387501634201
321.0,,,0.7567873796138929
322.0,,0.6450546656496313,0.7572885344489476
323.0,,0.6455631833206203,0.7577678999433477
324.0,,0.6458174421561149,0.7579422146685841
325.0,,0.6460717009916095,0.7583780014816751
326.0,,0.646325959827104,0.758922734998039
327.0,,0.6468344774980931,0.7595546258770209
328.0,,0.6473429951690821,0.7600993593933848
329.0,,0.6486142893465547,0.760622303569094
330.0,0.7245860467832842,0.6493770658530383,0.7610798797228396
331.0,,0.6498855835240275,0.7617117706018216
332.0,,0.650139842359522,0.7621475574149126
333.0,,0.6511568777015001,0.7624961868653855
334.0,,0.6519196542079837,0.7631280777443674
335.0,,0.6529366895499619,0.763542075216804
336.0,,0.6531909483854564,0.7640868087331677
337.0,,,0.7644354381836406
338.0,,,0.7647186996121498
339.0,,0.6534452072209509,0.7651762757658953
340.0,0.7285868644686505,,0.7657210092822592
341.0,,0.6536994660564455,0.7662221641173138
342.0,,0.6549707602339181,0.7665925829084412
343.0,,0.6552250190694127,0.7669630016995685
344.0,,0.6559877955758963,0.7672898418093869
345.0,,0.6564963132468853,0.7676384712598596
346.0,,0.6572590897533689,0.7680524687322962
347.0,,0.6580218662598525,0.7685754129080054
348.0,,0.6590389016018307,0.7693816185122239
349.0,,0.6592931604373252,0.769664879940733
350.0,0.7322956516660339,0.6598016781083142,0.770100666753824
351.0,,0.6600559369438088,0.7704710855449514
352.0,,0.6603101957793033,0.7708415043360788
353.0,,0.6605644546147978,0.7712555018085153
354.0,,0.6608187134502924,0.771560552577679
355.0,,0.6613272311212814,0.7719963393907701
356.0,,0.661581489956776,0.772432126203861
357.0,,0.6623442664632596,0.7728461236762976
358.0,,0.6625985252987542,0.7732165424674249
359.0,,0.6628527841342486,0.7736741186211705
360.0,0.7363256724001985,,0.7739355907090252
361.0,,0.6633613018052378,0.7743931668627707
362.0,,,0.7748507430165164
363.0,,0.6641240783117214,0.7753083191702619
364.0,,0.664886854818205,0.775548001917462
365.0,,0.665395372489194,0.775983788730553
366.0,,0.6661581489956776,0.7763759968623349
367.0,,,0.7766810476314987
368.0,,0.6666666666666666,0.7770732557632806
369.0,,0.6676837020086448,0.7774872532357171
370.0,0.7401658733171743,0.6679379608441394,0.7779012507081535
371.0,,,0.7782498801586264
372.0,,,0.7787292456530266
373.0,,0.6681922196796338,0.7790560857628448
374.0,,0.668700737350623,0.7795136619165904
375.0,,0.669209255021612,0.7798405020264086
376.0,,0.6694635138571066,0.7802109208175361
377.0,,0.6699720315280956,0.7805377609273544
378.0,,0.6707348080345792,0.7809299690591363
379.0,,0.6712433257055682,0.7813003878502637
380.0,0.7440644803317467,0.6714975845410628,0.7819104893885911
381.0,,0.6720061022120518,0.7822809081797185
382.0,,,0.7825641696082276
383.0,,0.672514619883041,0.7830435351026278
384.0,,0.6727688787185355,0.7833921645531007
385.0,,0.6735316552250191,0.7836100579596461
386.0,,,0.7839804767507735
387.0,,0.6742944317315027,0.7843508955419008
388.0,,0.6745486905669972,0.7846559463110646
389.0,0.7440790818561458,0.6748029494024917,0.7850045757615375
390.0,0.7477732675291301,0.6750572082379863,0.7855057305965921
391.0,,,0.7857889920251013
392.0,,0.6760742435799644,0.7860286747723014
393.0,,0.6765827612509535,0.7863773042227742
394.0,,,0.7867041443325925
395.0,,0.6773455377574371,0.7870091951017563
396.0,,0.6778540554284261,0.7872488778489563
397.0,,0.6783625730994152,0.7876628753213928
398.0,,0.6793796084413933,0.7879025580685929
399.0,,0.6796338672768879,0.7881640301564474
400.0,0.7508979937505476,0.6801423849478769,0.7887087636728113
401.0,,0.6803966437833715,0.7889920251013204
402.0,,0.6809051614543605,0.7893406545517933
403.0,,0.6814136791253496,0.7898635987275026
404.0,,,0.790081492134048
405.0,,0.6816679379608441,0.7903865429032118
406.0,,0.6824307144673277,0.7908441190569573
407.0,,0.6826849733028223,0.7911927485074302
408.0,,0.6829392321383168,0.791541377957903
409.0,,,0.7918900074083758
410.0,0.7540811260695617,0.6831934909738113,0.7923911622434305
411.0,,0.6837020086448004,0.7926090556499761
412.0,,0.6839562674802949,0.7928269490565215
413.0,,0.6842105263157895,0.793001263781758
414.0,,0.6844647851512841,0.7932627358696126
415.0,,0.6847190439867785,0.7936549440013945
416.0,,0.6852275616577677,0.7941778881771038
417.0,,,0.7945483069682311
418.0,,0.6854818204932621,0.7948751470780494
419.0,,,0.7952237765285223
420.0,0.7570598370469878,,0.7956813526822678
421.0,,0.6859903381642513,0.795964614110777
422.0,,,0.7962260861986317
423.0,,0.6867531146707349,0.7967054516930318
424.0,,0.6877701500127129,0.7970322918028501
425.0,,,0.7975334466379047
